Word,Count
*,95
the,36
,28
of,17
a,16
=,15
@param,15
game,14
play,11
to,10
@return,9
on,8
Paper,8
in,8
-,7
Scissors,7
Rock,7
current,7
by,7
3,7
1,6
2,6
sound,6
highscore,6
result,5
Wayburn,5
Created,5
The,5
class,5
Örnell,5
&,5
Philippa,5
file,5
title,5
method,5
Tim,5
scissors,5
\paper,\,4
choice,4
be,4
\rock,\,4
Layout,4
save,4
tie,4
Box,4
21/04/16,4
label,4
button,4
choice:,4
path,3
upon,3
<,3
>,3
2:paper,3
(1:rock,3
Selects,3
displayed,3
Alert,3
and,3
start,3
total,3
Confirm,3
main,3
Button,3
an,3
random,3
menu,3
for,3
wins,3
player,3
that,3
3:scissors),3
appears,2
has,2
losses,2
app.Game,2
with,2
submit,2
or,2
computers,2
5:tie),2
4,2
stage,2
instance,2
\Box,\,2
(3:win,2
create,2
Highscore,2
based,2
program,2
button),2
message,2
from,2
lable,2
Name,2
set,2
one,2
when,2
during,2
4:loss,2
This,2
played,2
exiting,1
times,1
off,1
Tie,1
rock,1
\4,5,6:loss\,1
minus,1
as,1
app.Main,1
Gameplay,1
'yes',1
Totalgames,1
\scene,\,1
Sets,1
startup,1
paper,1
scene,1
players,1
buttons,1
entire,1
Label,1
menubutton,1
losslabel,1
called,1
statistics,1
Updates,1
Loads,1
Load,1
like,1
draw,1
takes,1
into,1
21/05/16,1
labels,1
Loss,1
gameplay,1
Class,1
result:,1
our,1
Called,1
screen),1
If,1
\Rock,\,1
Create,1
Calls,1
returns,1
game's,1
input),1
(Could,1
within,1
displays,1
restart,1
(end,1
size,1
ties,1
up,1
given,1
checks,1
10,1
data,1
how,1
tielabel,1
no,1
remaking,1
5,1
Submitbutton,1
Exception,1
Scene,1
\loss,\,1
It,1
call,1
such,1
\methods,\,1
Creates,1
(top,1
Handles,1
achievement,1
outcome,1
they,1
(start,1
throw,1
includes,1
Compares,1
primaryStage,1
(exit,1
condensed,1
alertbox,1
not,1
winslabel,1
input,1
closing,1
\win,lose,tie\,1
otherwise,1
if,1
Run,1
rounds,1
win,1
primary,1
made,1
Stores,1
\7,8,9:tie\,1
\existent,\,1
won,1
is,1
loss,1
display,1
music,1
again/,1
game),1
\(1,2,3:win\,1
window,1
all,1
effect,1
To,1
@throws,1
-1:wrong,1
back,1
computer's,1
have,1
Wins,1
true,1
selection,1
Builder),1
chosen,1
Scissor,1
Clears,1
breaking,1
counters,1
\win,\,1
telling,1
many,1
restartbutton,1
totallabel,1
Adds,1
Window,1
this,1
Plays,1
false,1
Yes,1
simulates,1
stats,1
Method,1
\selected,\,1
them,1
Also,1
